date,btc_realized_cap_usd,eth_realized_cap_usd
2025-06-01,2075124302250.0,
2025-06-01,2067783373906.25,
2025-06-01,2079916356562.5,
2025-06-01,2095030437937.5,
2025-06-02,2074393646687.5,
2025-06-02,2077782592968.75,
2025-06-02,2083713211406.25,
2025-06-02,2074979410031.25,
2025-06-03,2112770721468.75,
2025-06-03,2095491165500.0,
2025-06-03,2091725672656.25,
2025-06-03,2110815216656.25,
2025-06-03,2102081243281.25,
2025-06-04,2080460370125.0,
2025-06-04,2093545923687.5,
2025-06-04,2099319998343.75,
2025-06-04,2089393372281.25,
2025-06-05,2053463044500.0,
2025-06-05,2021077309875.0,
2025-06-05,2078483380312.5,
2025-06-05,2078096344750.0,
2025-06-06,2047918712000.0,
2025-06-06,2065617843875.0,
2025-06-06,2090074717500.0,
2025-06-06,2076768790875.0,
2025-06-07,2087114441375.0,
2025-06-07,2085137393625.0,
2025-06-07,2101247110500.0,
2025-06-07,2103642765000.0,
2025-06-08,2114230064375.0,
2025-06-08,2100107405250.0,
2025-06-08,2100075707250.0,
2025-06-08,2101278826500.0,
2025-06-08,2091748924500.0,
2025-06-09,2098538434250.0,
2025-06-09,2098747756125.0,
2025-06-09,2137119936000.0,
2025-06-09,2147267747625.0,
2025-06-10,2175348456000.0,
2025-06-10,2168778106125.0,
2025-06-10,2179732381250.0,
2025-06-10,2177104534875.0,
2025-06-10,2192796165000.0,
2025-06-10,2175127799125.0,
2025-06-11,2176960527000.0,
2025-06-11,2173791097000.0,
2025-06-11,2182746902375.0,
2025-06-11,2158109674875.0,
2025-06-12,2160505854375.0,
2025-06-12,2140837713750.0,
2025-06-12,2126933962500.0,
2025-06-12,2134498297750.0,
2025-06-12,2109263864625.0,
2025-06-13,2089428149593.75,
2025-06-13,2082261090625.0,
2025-06-13,2087816536125.0,
2025-06-13,2071704701250.0,
2025-06-14,2099180160000.0,
2025-06-14,2093425897000.0,
2025-06-14,2090653724656.25,
2025-06-14,2078339321718.75,
2025-06-14,2097036039656.25,
2025-06-15,2101221200312.5,
2025-06-15,2093478881093.75,
2025-06-15,2103031477593.75,
2025-06-15,2085945769906.25,
2025-06-16,2139475510625.0,
2025-06-16,2145031094375.0,
2025-06-16,2107824047687.5,
2025-06-16,2123340743562.5,
2025-06-16,2124544206937.5,
2025-06-17,2118612266062.5,
2025-06-17,2101526031687.5,
2025-06-17,2077083949000.0,
2025-06-18,2079113801625.0,
2025-06-18,2084669885375.0,
2025-06-18,2087076870187.5,
2025-06-18,2079877639875.0,
2025-06-18,2100364920312.5,
2025-06-19,2091063530062.5,
2025-06-19,2085706202531.25,
2025-06-19,2074185708093.75,
2025-06-19,2082943829218.75,
2025-06-20,2083749554593.75,
2025-06-20,2109009298500.0,
2025-06-20,2108622278312.5,
2025-06-20,2050380061843.75,
2025-06-21,2022199491375.0,
2025-06-21,2068901408750.0,
2025-06-21,2060362592375.0,
2025-06-21,2053770248437.5,
2025-06-21,2058552512250.0,
